,Time,RSSI,File Name
0,Mac Address ,28:DE:65:6E:4E:16,0e
1,Time, RSSI,0e
2,11-07-2023 16:57:33:447,-70,0e
3,11-07-2023 16:57:35:448,-70,0e
4,11-07-2023 16:57:37:448,-71,0e
5,11-07-2023 16:57:39:448,-71,0e
6,11-07-2023 16:57:41:450,-71,0e
7,11-07-2023 16:57:43:450,-71,0e
8,11-07-2023 16:57:45:451,-71,0e
9,11-07-2023 16:57:47:452,-73,0e
10,11-07-2023 16:57:49:450,-73,0e
11,11-07-2023 16:57:51:450,-73,0e
12,11-07-2023 16:57:53:451,-73,0e
13,11-07-2023 16:57:55:452,-73,0e
14,11-07-2023 16:57:57:451,-73,0e
15,11-07-2023 16:57:59:452,-73,0e
16,11-07-2023 16:58:01:452,-73,0e
17,11-07-2023 16:58:03:453,-73,0e
18,11-07-2023 16:58:05:453,-74,0e
19,11-07-2023 16:58:07:453,-74,0e
20,11-07-2023 16:58:09:452,-74,0e
21,11-07-2023 16:58:11:452,-74,0e
22,11-07-2023 16:58:13:455,-75,0e
23,11-07-2023 16:58:15:455,-75,0e
24,11-07-2023 16:58:17:454,-75,0e
25,11-07-2023 16:58:19:454,-76,0e
26,11-07-2023 16:58:21:455,-76,0e
27,11-07-2023 16:58:23:455,-77,0e
28,11-07-2023 16:58:25:456,-77,0e
29,11-07-2023 16:58:27:456,-77,0e
30,11-07-2023 16:58:29:456,-77,0e
31,11-07-2023 16:58:31:457,-77,0e
32,11-07-2023 16:58:33:456,-78,0e
33,11-07-2023 16:58:35:457,-77,0e
34,11-07-2023 16:58:37:458,-76,0e
35,11-07-2023 16:58:39:458,-76,0e
36,11-07-2023 16:58:41:458,-74,0e
37,11-07-2023 16:58:43:459,-74,0e
38,11-07-2023 16:58:45:458,-73,0e
39,11-07-2023 16:58:47:459,-73,0e
40,11-07-2023 16:58:49:461,-72,0e
41,11-07-2023 16:58:51:461,-72,0e
42,11-07-2023 16:58:53:461,-73,0e
43,11-07-2023 16:58:55:461,-73,0e
44,11-07-2023 16:58:57:462,-73,0e
45,11-07-2023 16:58:59:463,-74,0e
46,11-07-2023 16:59:01:464,-75,0e
47,11-07-2023 16:59:03:463,-75,0e
48,11-07-2023 16:59:05:465,-75,0e
49,11-07-2023 16:59:07:465,-75,0e
50,11-07-2023 16:59:09:464,-74,0e
51,11-07-2023 16:59:11:465,-74,0e
52,11-07-2023 16:59:13:464,-74,0e
53,11-07-2023 16:59:15:466,-73,0e
54,11-07-2023 16:59:17:465,-73,0e
55,11-07-2023 16:59:19:466,-74,0e
56,11-07-2023 16:59:21:466,-74,0e
57,11-07-2023 16:59:23:466,-74,0e
58,11-07-2023 16:59:25:466,-74,0e
59,11-07-2023 16:59:27:467,-74,0e
60,11-07-2023 16:59:29:467,-73,0e
61,11-07-2023 16:59:31:470,-73,0e
62,11-07-2023 16:59:33:468,-73,0e
63,11-07-2023 16:59:35:469,-74,0e
64,11-07-2023 16:59:37:468,-74,0e
65,11-07-2023 16:59:39:471,-74,0e
66,11-07-2023 16:59:41:469,-74,0e
67,11-07-2023 16:59:43:470,-74,0e
68,11-07-2023 16:59:45:469,-75,0e
69,11-07-2023 16:59:47:470,-75,0e
70,11-07-2023 16:59:49:471,-76,0e
0,Mac Address ,28:DE:65:6E:4E:16,0m
